"article_link","headline","is_sarcastic"
"https://www.huffingtonpost.com/entry/if-you-see-a-muslim-at-the-airport_us_588ddf13e4b0cd25e49049d8","if you see a muslim at the airport","0"
"https://www.huffingtonpost.com/entry/give-the-gift-of-play-thi_b_6309948.html","give the gift of play this holiday season","0"
"https://www.theonion.com/christian-bale-visits-sikh-temple-victims-1819573750","christian bale visits sikh temple victims","1"
"https://www.huffingtonpost.com/entry/substantiated-complaints-_n_6658222.html","nypd weighs allowing chokeholds following eric garner death","0"
"https://www.huffingtonpost.com/entry/pope-francis-reminds-the-world-that-caring-for-the-earth-is-everyones-responsibility_us_593595d7e4b0cfcda9167c04","pope francis reminds the world that caring for the earth is everyone's responsibility","0"
"https://www.huffingtonpost.com/entry/our-top-italy-tours-for-2_b_5787288.html","the top italy tours for 2015","0"
"https://entertainment.theonion.com/robert-de-niro-to-turn-58-for-movie-role-1819586959","robert de niro to turn 58 for movie role","1"
"https://www.huffingtonpost.com/entry/philadelphia-mayor-super-pac_n_7268872.html","3 libertarians fuel $7 million super pac in philadelphia's mayoral democratic primary","0"
"https://www.huffingtonpost.com/entry/6-things-no-one-tells-women-about-their-weight-loss-journey_b_7003184.html","6 things no one tells women about their weight loss journey","0"
"https://local.theonion.com/fan-disappointed-to-learn-l-ron-hubbard-scientologist-1819580236","fan disappointed to learn l. ron hubbard scientologist","1"
"https://www.huffingtonpost.com/entry/stephanie-seymour-drunk-driving-arrest_us_569ddb71e4b0cd99679b37c8","supermodel stephanie seymour arrested, charged with drunken driving","0"
"https://www.huffingtonpost.com/entry/the-worst-place-in-the-wo_b_6192524.html","the worst place in the world for a child","0"
"https://www.huffingtonpost.com/entry/world-will-miss-goal-for-universal-education-by-50-years-un_us_57cec2c1e4b0a22de096dbad","world will miss goal for universal education by 50 years: un","0"
"https://www.huffingtonpost.com/entry/villa-carlotta-renovation_n_6496596.html","saying goodbye to hollywood's hottest, seediest address","0"
"https://www.huffingtonpost.com/entry/smartphone-warning-label_us_56152dc6e4b0cf9984d7c43a","psychologists push for smartphone warning labels","0"
"https://www.huffingtonpost.com/entry/rohingya-mass-graves-myanmar_us_5a734e7ae4b0905433b21a6e","mass graves suggest systematic killing of rohingya in myanmar","0"
"https://www.huffingtonpost.com/entry/john-perry-barlow-dead_us_5a7beda5e4b08dfc92fff7c7","grateful dead lyricist, internet pioneer john perry barlow dead at 70","0"
"https://www.huffingtonpost.com/entry/wont-ask-dont-tell_b_7255748.html","won't ask, don't tell","0"
"https://www.huffingtonpost.com/entry/vegas-baby-well-minus-our-babies_b_5684367.html","vegas, baby! (well, minus our babies)","0"
"https://www.huffingtonpost.com/entry/the-outfit-that-got-this-woman-kicked-out-of-her-schools-gym_us_56b4f11ce4b04f9b57d97572","the outfit that got this woman kicked out of her school's gym","0"
"https://local.theonion.com/partygoer-vows-to-fix-keg-1819566083","partygoer vows to fix keg","1"
"https://www.huffingtonpost.com/entry/nbc-ayman-mohyeldin-return-to-gaza_n_5601145.html","nbc news correspondent ayman mohyeldin returning to gaza","0"
"https://local.theonion.com/report-some-crazy-shit-probably-happened-to-classmate-1819578929","report: some crazy shit probably happened to classmate being raised by grandmother","1"
"https://local.theonion.com/police-release-haircut-progressed-photo-of-missing-woma-1819577510","police release haircut-progressed photo of missing woman","1"
"https://local.theonion.com/rapture-wreaks-havoc-on-local-book-club-1819568980","rapture wreaks havoc on local book club","1"
"https://www.huffingtonpost.comhttps://www.washingtonpost.com/world/national-security/military-prosecutor-senate-report-on-cia-interrogation-program-is-accurate/2016/02/10/d75d51a8-cf47-11e5-88cd-753e80cd29ad_story.html","military prosecutor: senate report on cia interrogation program is accurate","0"
"https://www.huffingtonpost.com/entry/safeguarding-americas-health-system-from-sabotage_us_5a1ecf33e4b0e37da0447b66","safeguarding america's health system from sabotage","0"
"https://www.theonion.com/jonathan-safran-foer-guesses-it-s-time-to-give-up-on-si-1824077900","jonathan safran foer guesses it's time to give up on silly little dream of becoming good writer","1"
"https://www.huffingtonpost.com/entry/americans-think-white-house-creating-problems_us_598a217ce4b0449ed5062d2f","americans say the white house is creating more problems than it solves","0"
"https://www.huffingtonpost.com/entry/a-lancet-breakthrough-pub_b_7777494.html","a lancet breakthrough: publishing about faith and health","0"
"https://www.huffingtonpost.com/entry/orlando-shooting-food-donations_us_57604e3de4b0e4fe5143eb6f","after shooting, orlando chefs provide thousands of free meals","0"
"https://www.huffingtonpost.com/entry/dogs-smell-grandmas-scent-set-off-on-quest-to-find-her_us_584c2eede4b0bd9c3dfd1730","dogs smell grandma's scent, set off on quest to find her","0"
"https://www.huffingtonpost.com/entry/yahoos-newfront-pulses-to_b_7195252.html","yahoo's newfront pulses to steve aoki's edm beat","0"
"https://www.huffingtonpost.com/entry/getting-lost-in-the-paren_b_6181148.html","what has becoming a parent done to me?","0"
"https://local.theonion.com/7-year-old-puts-on-uno-face-1819567628","7-year-old puts on uno face","1"
"https://www.huffingtonpost.com/entry/jake-tapper-tweets-response-snl-kellyanne-conway-sketch_us_58a1d246e4b03df370d886c5","jake tapper has one-word response to creepy kellyanne conway 'snl' sketch","0"
"https://www.huffingtonpost.com/entry/jada-pinkett-smith-gabrielle-union-feud_us_5aec363be4b041fd2d257f8d","jada pinkett smith and gabrielle union end feud after 17 years","0"
"https://entertainment.theonion.com/that-guy-from-that-one-show-in-rehab-1819567262","that guy from that one show in rehab","1"
"https://www.huffingtonpost.com/entry/white-nationalist-calls-presidents-denouncement-of-hate-groups-kumbaya-nonsense_us_59923778e4b09096429961e8","white nationalist calls trump's denouncement of hate groups 'kumbaya nonsense'","0"
"https://www.huffingtonpost.com/entry/facebook-passive-use_us_5a34517ae4b040881beaae39","being a facebook wallflower isn't good for you, the social site says","0"
"https://www.huffingtonpost.com/entry/luiso-garcia-tess-asplund-image_us_5730b710e4b096e9f09205c8","artist's stunning image honors the moment one woman defied a neo-nazi march","0"
"https://www.huffingtonpost.com/entry/new-years-resolutionlet-c_b_6407324.html","new year's resolution -- let colleges lead the way to a new normal in cuba","0"
"https://www.huffingtonpost.com/entry/the-changing-holiday-shop_b_13256406.html","the changing holiday shopping landscape","0"
"https://www.huffingtonpost.com/entry/brown-ribbon-campaign-hollywood-latinos_us_56d1f358e4b0871f60eba3ce","#brownribboncampaign reminds us oscar diversity isn't just black and white","0"
"https://entertainment.theonion.com/yorkshire-terrier-monogrammed-1819588421","yorkshire terrier monogrammed","1"
"https://www.huffingtonpost.comhttp://www.hollywoodreporter.com/news/bill-henderson-dead-jazz-vocalist-881521","bill henderson, jazz vocalist and actor, dies at 90","0"
"https://local.theonion.com/suspension-of-disbelief-goes-unrewarded-1819572258","suspension of disbelief goes unrewarded","1"
"https://www.huffingtonpost.com/entry/horses-alzheimers-_n_5273331.html","the surprising way horses can help ease alzheimer's symptoms","0"
"https://www.theonion.com/beaver-cant-wait-to-get-started-on-dam-1819587813","beaver can't wait to get started on dam","1"
"https://www.huffingtonpost.com/entry/8-reasons-the-holidays-after-divorce-are-anything-but-depressing_us_5679cb8be4b0b958f65888cd","8 perks of being divorced during the holidays","0"
"https://www.theonion.com/nation-s-financial-advisors-recommend-capturing-magical-1819578300","nation's financial advisors recommend capturing magical creature that grants wishes","1"
